loadCircletModules: 1208 ms, 67 Mb
Initializing...: 6733 ms, 383 Mb
------------ 1 ------------
Updating platform-runtime-js.js: 392 ms, 407 Mb
Compiling platform-runtime-js.js: 16994 ms, 319 Mb
Updating platform-web.js: 97 ms, 324 Mb
Compiling platform-web.js: 24381 ms, 1171 Mb
Updating font-icons-runtime-js.js: 1 ms, 1175 Mb
Compiling font-icons-runtime-js.js: 807 ms, 288 Mb
Updating platform-api-js.js: 5 ms, 289 Mb
Compiling platform-api-js.js: 790 ms, 671 Mb
Updating platform-client-js.js: 6 ms, 671 Mb
Compiling platform-client-js.js: 2477 ms, 707 Mb
Updating common-js.js: 5 ms, 711 Mb
Compiling common-js.js: 1128 ms, 328 Mb
Updating client-api-js.js: 14 ms, 332 Mb
Compiling client-api-js.js: 3640 ms, 578 Mb
Updating client-js.js: 12 ms, 581 Mb
Compiling client-js.js: 6588 ms, 957 Mb
Updating app-state-js.js: 19 ms, 961 Mb
Compiling app-state-js.js: 3270 ms, 843 Mb
Updating app-web.js: 73 ms, 849 Mb
Compiling app-web.js: 46526 ms, 1100 Mb
Updating vacations-api-js.js: 13 ms, 1103 Mb
Compiling vacations-api-js.js: 412 ms, 1026 Mb
Updating vacations-js.js: 3 ms, 1028 Mb
Compiling vacations-js.js: 1782 ms, 1416 Mb
Updating responsibilities-api-js.js: 33 ms, 935 Mb
Compiling responsibilities-api-js.js: 400 ms, 1218 Mb
Updating responsibilities-js.js: 4 ms, 1218 Mb
Compiling responsibilities-js.js: 2102 ms, 1287 Mb
Updating internal-tools-api-js.js: 12 ms, 1291 Mb
Compiling internal-tools-api-js.js: 294 ms, 1570 Mb
Updating internal-tools-js.js: 12 ms, 1570 Mb
Compiling internal-tools-js.js: 3435 ms, 922 Mb
Updating google-integration-api-js.js: 2 ms, 927 Mb
Compiling google-integration-api-js.js: 336 ms, 1217 Mb
Updating google-integration-js.js: 5 ms, 1217 Mb
Compiling google-integration-js.js: 1919 ms, 1431 Mb
Updating editors-api-js.js: 11 ms, 1437 Mb
Compiling editors-api-js.js: 356 ms, 1071 Mb
Updating editors-js.js: 11 ms, 1073 Mb
Compiling editors-js.js: 2418 ms, 1341 Mb
Updating bonus-api-js.js: 1 ms, 1347 Mb
Compiling bonus-api-js.js: 438 ms, 1189 Mb
Updating bonus-js.js: 10 ms, 1191 Mb
Compiling bonus-js.js: 5027 ms, 1618 Mb
Updating all-js.js: 11 ms, 1623 Mb
Compiling all-js.js: 456 ms, 1450 Mb
Compiling all...: 126761 ms, 1450 Mb
------------ 2 ------------
Updating platform-runtime-js.js: 41 ms, 1453 Mb
Compiling platform-runtime-js.js: 5503 ms, 1253 Mb
Updating platform-web.js: 32 ms, 1258 Mb
Compiling platform-web.js: 13235 ms, 1423 Mb
Updating font-icons-runtime-js.js: 16 ms, 1428 Mb
Compiling font-icons-runtime-js.js: 206 ms, 1536 Mb
Updating platform-api-js.js: 3 ms, 1536 Mb
Compiling platform-api-js.js: 480 ms, 1758 Mb
Updating platform-client-js.js: 3 ms, 1758 Mb
Compiling platform-client-js.js: 1643 ms, 1407 Mb
Updating common-js.js: 14 ms, 1412 Mb
Compiling common-js.js: 633 ms, 1632 Mb
Updating client-api-js.js: 9 ms, 1632 Mb
Compiling client-api-js.js: 2450 ms, 1431 Mb
Updating client-js.js: 17 ms, 1436 Mb
Compiling client-js.js: 4887 ms, 1795 Mb
Updating app-state-js.js: 4 ms, 1800 Mb
Compiling app-state-js.js: 2328 ms, 1600 Mb
Updating app-web.js: 50 ms, 1606 Mb
Compiling app-web.js: 42025 ms, 2010 Mb
Updating vacations-api-js.js: 16 ms, 2013 Mb
Compiling vacations-api-js.js: 43 ms, 2026 Mb
Updating vacations-js.js: 3 ms, 2026 Mb
Compiling vacations-js.js: 2247 ms, 1456 Mb
Updating responsibilities-api-js.js: 12 ms, 1460 Mb
Compiling responsibilities-api-js.js: 50 ms, 1473 Mb
Updating responsibilities-js.js: 3 ms, 1473 Mb
Compiling responsibilities-js.js: 1779 ms, 1354 Mb
Updating internal-tools-api-js.js: 12 ms, 1358 Mb
Compiling internal-tools-api-js.js: 41 ms, 1364 Mb
Updating internal-tools-js.js: 7 ms, 1364 Mb
Compiling internal-tools-js.js: 2203 ms, 1444 Mb
Updating google-integration-api-js.js: 12 ms, 1451 Mb
Compiling google-integration-api-js.js: 63 ms, 1464 Mb
Updating google-integration-js.js: 3 ms, 1464 Mb
Compiling google-integration-js.js: 1562 ms, 1712 Mb
Updating editors-api-js.js: 0 ms, 1716 Mb
